Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
80	42.2241838	25.2699105	21.5807415	21.1747377	11.0466154	19.5599891	19.3440758	40.1485182	21.0336346	16.9252405	11.4411614	6.8751255	32.5592395	31.9306165	24.5214673	17.6410684	11.7121764	9.4679212	15.9726245	19.7426923	30.7185570	30.5477468	24.0205361	17.1206716	18.8309550	5.5306275	13.7892364	12.9745960	28.3236912	0.0348634	0.0620294
85	41.4864417	25.1766864	23.8971258	23.2715299	16.6779422	16.9207147	22.2160420	39.3268522	18.1483827	11.2082350	12.5003730	7.4884934	34.6470335	33.6254073	24.2040155	22.5819801	11.7121764	7.1838351	17.9953801	12.4535278	33.1617495	25.9071556	20.1177324	17.1206716	21.9073968	7.8380004	14.2491876	9.4732210	19.2520891	0.0348634	0.0846561
90	41.4864417	25.1025352	24.4034859	21.0905876	14.5873990	15.3348162	22.2160420	39.2862678	21.6377491	15.0342208	18.8280091	7.4884934	31.3052609	31.1692441	27.0758759	20.9013253	10.0050253	7.1838351	17.4958374	14.8077493	28.6688463	26.3189043	22.1809151	17.5766746	19.2212253	7.8380004	18.6491606	10.6982841	22.2969836	0.0348634	0.0846561
95	36.3906049	25.9891728	21.7172113	20.6679141	14.3687938	17.9111634	14.6670642	32.2024632	21.6377491	13.1807690	10.0162878	9.0515021	32.1763428	31.3127414	27.9583667	23.5780155	10.4866841	8.9743450	16.3512733	21.0247117	26.1014927	24.4882993	22.1809151	16.6214829	16.9941533	7.8380004	15.2943048	10.4269520	24.7447443	0.0341379	0.0602426
100	38.8777287	25.0137428	24.5250143	21.1141814	12.9443459	19.1686406	20.8597748	34.8552120	20.4496694	13.1807690	13.0980197	8.6207468	33.1107809	30.5371439	26.3245481	21.9092178	10.4866841	9.0763550	16.9672087	14.9950260	27.3884419	27.1692346	20.8756215	13.6307914	17.4213376	7.8380004	12.6879278	11.7779537	21.3618736	0.0324973	0.0945417
105	41.2719795	31.5955364	22.3988250	20.1888170	14.3991215	19.1686406	20.8597748	36.3921969	19.9619278	17.1579064	12.9086529	9.1079032	34.7403455	32.3200592	27.5120243	20.9941602	10.9337045	9.0763550	19.2866734	18.7209509	31.1544648	30.5892171	21.1286477	13.6307914	19.3864473	7.8380004	16.1301904	12.7077417	21.3618736	0.0324973	0.0604313
110	41.2719795	25.5057101	22.3683313	19.8296269	14.9489272	12.7756438	20.8597748	35.8951702	18.5885976	13.8350453	16.9641570	9.1079032	33.6897565	32.5501111	24.3025117	20.6254157	10.9337045	9.3410785	12.0212551	17.1805300	31.8505604	28.1070519	27.5565905	14.4265683	17.4271996	8.2434040	11.4908809	11.1500671	22.1523000	0.0336132	0.0567829
115	37.8788436	28.5265061	27.4652750	19.7877186	15.5478094	17.5220223	20.8597748	37.6992598	27.4200796	15.2934506	14.5756256	9.1079032	37.5066272	34.5832926	22.9735340	20.6379336	11.7196657	9.3410785	12.1411526	19.6587549	31.3751788	29.8214853	25.4511225	14.4265683	18.6530583	8.2434040	15.6898412	11.1500671	20.5672533	0.0336132	0.0788388
120	37.8788436	30.7833006	27.7106537	27.1174258	13.0324479	17.5220223	21.3392015	37.5454864	20.0319951	11.3647779	13.7519082	5.2893914	32.9998988	30.4543360	23.9920919	20.6124811	11.7196657	9.3410785	17.8257239	16.9694651	28.9807550	26.6741450	23.9223919	11.8184099	17.6938786	5.9190197	11.8619746	11.1500671	18.1148186	0.0304504	0.0769771
125	42.1347029	23.7024196	22.9799267	18.6657392	11.0986773	16.1341835	21.3392015	38.4451302	22.1276906	14.7657022	13.7519082	8.0914471	30.2422607	28.8059387	27.6888410	27.2458215	10.8116164	10.5731986	16.4251914	16.9694651	27.4578384	23.6995347	22.9242096	13.6875381	20.1877522	8.0211439	12.7979532	9.1713124	18.8848022	0.0335098	0.1093783
