Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2
1110	46.1782400	34.7201987	23.1224763	20.5876399	14.3047243	12.0745684	20.1920488	36.5429370	21.0281277	15.4779075	13.8689422	7.2684030	31.3660979	31.0472749	24.0086321	23.9463214	10.8625062	10.3680650	18.1290899	19.5409605	27.9203102	25.9053324	25.4289510	17.1193474	19.2980966	7.2379609	14.4996397	12.1469055	24.7563275	0.0260434	0.2977821
1115	38.9836273	25.4854427	24.9249910	19.6187742	12.0032322	18.0093352	13.0000523	35.9464279	21.4588075	15.4779075	13.2593505	7.2684030	33.4237951	31.3903571	28.9249210	23.7223393	11.7027535	10.8312784	17.6599943	13.3788613	30.4711073	26.4792677	21.7387125	15.5533309	19.8592037	7.2379609	13.6928484	11.1318198	28.8071819	0.0248500	0.2977821
1120	38.6524999	27.0060748	26.3366913	23.2342979	11.9865969	17.7816094	19.6965345	34.7182866	20.8122722	11.9057027	10.3203950	7.8604336	33.5197428	28.2125000	27.7986701	20.1073615	11.6447307	9.6094267	18.7092739	21.0641606	27.3732826	26.8896791	23.6859821	15.3399929	18.5502900	8.8165897	15.3244327	11.1318198	23.8362348	0.0286939	0.2472954
1125	41.9634834	30.4338811	23.6564888	19.2605421	13.1278537	17.2660737	19.7866735	35.6895603	17.7934419	16.0461608	10.2316678	8.3703112	32.3581305	32.2627584	25.7945512	18.1475165	13.6515758	9.6094267	17.1381357	13.1498680	28.7217686	24.9953618	24.4596209	15.5375542	14.6102006	7.0585262	12.1428937	10.1128510	25.2308134	0.0254751	0.1986023
1130	43.1830236	29.7222273	27.9086049	18.5052639	11.8138472	17.6555191	19.7866735	42.2389597	22.9600409	19.8274307	10.1543147	8.3703112	39.0975861	34.8584900	32.3279903	18.8526002	7.5665054	6.5358987	12.4266164	21.3074496	30.5144616	29.4657597	23.3095129	18.2090481	18.6562502	9.9744474	18.1159863	11.3040102	26.0692552	0.0226999	0.1188917
1135	43.1830236	28.1632695	20.2591439	18.0109095	15.3666526	17.1371899	19.7866735	41.2642059	27.0179298	13.5654334	12.3972746	8.3703112	33.5168581	33.0758315	23.6128409	20.7238476	9.1600572	8.8653197	19.8677581	13.1117008	29.0931407	28.1688982	24.9252885	16.9109182	15.8064328	9.0313202	14.5779656	11.3040102	27.3429862	0.0235593	0.0614643
1140	41.4884903	29.2660598	24.7399677	24.6246387	13.5896085	15.4995120	20.4324748	39.2635146	24.0913362	12.6876931	17.9355716	9.1208633	35.2321996	34.5348287	31.3186781	20.2026634	9.1600572	6.8046902	19.7377012	18.4326270	33.8275357	28.8559073	20.6687937	13.7689009	16.7814583	9.0313202	16.4375712	11.3040102	28.9653804	0.0241523	0.0614643
1145	41.4884903	31.5590353	24.4713813	21.6436970	13.5896085	15.4995120	23.3665060	35.3510138	21.2863691	14.3679842	13.5042945	7.2281403	33.1372174	31.7505839	31.0954761	20.8408363	10.3788797	7.6563291	15.2073016	15.5638476	26.6297276	24.6714768	21.4198971	14.4279246	17.5944555	9.0313202	14.4261207	11.4118762	19.0058468	0.0250665	0.0740242
1150	37.8383611	23.8935740	20.9331238	20.6431507	13.5896085	17.6113547	19.1531899	37.1626454	21.2863691	17.0691588	13.5042945	7.2281403	36.8093490	34.7284869	23.2009985	17.9060092	10.3570185	9.8351914	14.8823093	16.3384451	25.5511180	24.9557378	21.4333189	13.8126638	21.1670005	7.4414948	17.2500190	11.4118762	21.9497011	0.0236052	0.0489492
1155	37.8383611	29.2544241	28.0104152	21.4372600	13.5117903	15.9021893	22.9382387	34.0031099	26.0690654	20.7009649	11.7540620	10.0511726	33.9436350	31.2425502	21.6610922	18.0235557	12.2270082	10.5195720	14.0548064	15.0438602	24.9304529	23.2183790	22.2687919	16.9768071	19.0405288	6.7332312	17.5634135	11.1454353	23.6600582	0.0236052	0.0421106
1160	42.8641048	27.4139045	22.9409057	20.4634738	13.1255166	17.2165774	16.6606355	34.3022467	26.2033637	15.0397238	9.9485172	9.8422670	32.8856191	30.7396745	24.1591175	19.9408272	9.4935337	8.7208171	17.7481970	17.8429492	28.8636738	25.9932887	22.0096722	16.1248018	17.4558881	8.9085163	15.6117345	14.0030239	23.6600582	0.0236052	0.0314362
1165	46.9458578	27.6924175	22.2551056	19.6952847	16.3787125	17.2165774	16.6900064	35.0408060	18.0651461	15.0397238	10.3067632	6.0103519	33.6130954	33.5062497	24.7549727	19.2562904	9.4935337	8.7208171	17.3715629	16.4532047	29.2559358	24.3484009	18.3326568	15.7692583	19.3501854	8.9085163	14.0551160	14.0030239	22.9237571	0.0236052	0.0518750
1170	38.2504008	25.8451267	21.9750469	21.5954108	13.7920907	14.9144394	17.5021952	35.5334877	16.0651278	13.8695459	11.5596749	7.1819803	30.8378695	29.7208474	23.2716120	19.1062163	13.9846466	6.8550992	17.3715629	15.6111893	28.5633107	26.6304475	22.1176853	16.0974489	14.9711149	6.3788104	14.7323170	12.7148295	28.5053229	0.0236052	0.0394272
1175	48.0060337	26.1545451	23.4122089	18.8459001	13.7920907	16.3907037	17.8356314	39.1808792	19.2379604	13.8695459	14.6310331	8.9058306	35.6226659	35.1856162	25.4685079	21.1225569	14.8758981	11.6546555	19.6901884	19.0835396	31.0056577	29.7233924	20.7440744	12.7840529	21.4426975	8.7700788	17.5968839	13.5843977	27.1889129	0.0231727	0.0653650
1180	43.0569313	26.6123589	23.0481085	19.8126041	15.1398603	16.3907037	17.8356314	39.3645445	16.7526557	13.5792438	14.5262679	9.7717059	36.8688728	29.7078385	27.7199932	25.8661242	8.2392836	8.1210658	20.5161786	15.0577010	29.5108298	28.2061517	22.9259114	16.7048219	20.1365304	10.9852261	15.3921840	10.2879849	25.3247277	0.0231080	0.0504231
1185	40.5172867	29.5200919	19.9598913	18.2050649	12.9810512	17.6564190	17.9633398	37.4553407	17.3209043	13.4871230	14.7876764	10.3940666	32.9924670	29.8002287	24.3865542	24.3195773	12.1680263	10.3453543	20.5161786	20.0402252	27.3062679	25.6484162	19.8063765	14.1949692	15.6703353	5.5056047	12.9354987	10.2879849	25.3247277	0.0207561	0.0504231
1190	40.5172867	23.3908957	20.2507242	19.8299708	14.8457984	17.6564190	12.4262955	36.0239696	19.1316999	18.2919132	14.0831232	5.5963335	33.6103533	31.4761416	24.0236710	22.1192599	16.2297676	7.8133008	15.2044000	16.2107972	29.5942461	26.7908600	24.5570229	15.2439423	19.7190790	8.0490558	13.1913183	10.2879849	25.1270409	0.0195689	0.0405074
1195	36.4841770	35.2260232	24.7136546	19.5696411	13.8507227	17.6564190	21.7538533	34.8502062	25.3202865	16.9045999	10.2859195	7.8006216	31.8303262	31.2300437	24.1430445	23.1827856	8.1654921	7.8133008	17.4091165	16.2107972	28.7254672	28.6614676	23.4890651	18.4662240	18.4724861	8.0490558	10.9000823	10.2879849	26.5262680	0.0200981	0.0609130
1200	41.2032409	22.4823771	21.7554376	21.7424769	13.0020039	14.5082065	19.2572905	39.0303193	22.6312152	15.5444000	14.8675510	10.3638184	35.5432280	33.3802323	20.6221956	19.4357639	13.3984741	7.8133008	15.2361714	15.1559422	29.2971461	29.2888556	28.4832563	12.7423130	16.5301240	8.0490558	16.1650650	13.2711811	23.5387820	0.0173573	0.0802289
1205	48.2775209	34.1119548	19.6508184	18.8999749	13.0020039	15.4595911	19.2572905	32.8999869	21.0768387	15.5444000	15.2645075	9.2199963	32.4021145	29.5146250	24.6329707	21.8216718	9.9064820	7.9100939	20.6284948	13.4557718	26.3127604	22.7040192	22.5925248	18.7215002	20.4987294	6.5605521	16.0540527	12.7893302	24.8366236	0.0178494	0.0596060
1210	48.2775209	30.9614765	28.5590980	21.4359662	13.8797192	16.5881212	22.0998640	31.1676836	20.2796864	14.8169725	11.5559627	9.2199963	30.9258220	30.3616573	23.9062581	23.3549122	12.3863602	10.9924892	20.6284948	17.9451162	29.7260094	25.0122718	16.8481700	16.2657541	17.3079329	8.7117159	14.3937458	12.8996563	23.9904581	0.0169465	0.0621564
1215	36.6036806	26.0500769	24.7811027	21.6274173	13.8797192	16.5881212	16.0614134	35.4292234	20.2796864	18.2041283	11.8391092	8.4088351	33.7182831	31.6429894	28.1233993	20.9114240	12.3863602	10.7963901	20.6284948	18.1795789	27.5730045	25.2037549	23.5428384	13.5130332	19.3753345	8.7117159	15.3724687	12.8996563	23.3887234	0.0165204	0.0578291
1220	47.1152745	24.3171142	22.4754160	17.4022204	13.8797192	16.5881212	19.1089923	41.3719226	23.7675619	12.7749342	13.3887922	5.4162530	33.8107305	31.8621377	24.7089759	21.7986937	13.5516555	8.3494205	20.0345592	17.7339243	31.5929080	27.3089883	22.3240720	13.5130332	17.4721187	6.5386209	14.4467947	10.7943115	23.3887234	0.0156434	0.0480926
1225	43.6060698	35.3908563	21.4175665	18.9609849	11.5382892	17.5747927	19.1089923	36.2131920	18.2093565	17.2658522	11.9744464	7.2716618	34.6860452	33.8786228	27.6420816	22.3866088	12.3899641	10.1002855	15.5106151	19.0260026	27.5890986	25.8175708	24.9156732	18.5486049	20.6487941	7.5680068	15.3244106	15.0779495	20.1759187	0.0176072	0.0972330
1230	39.6581121	29.8509095	25.1717540	19.6142861	11.5382892	16.7739228	18.9357955	34.1445850	20.8430728	20.4328944	11.1038955	9.9454745	30.3057021	29.4616281	23.5305211	19.7697602	10.7903630	8.3210067	17.9703915	18.8723817	26.5601116	25.0056763	19.6826232	15.7905720	21.2191199	5.1749652	13.3889665	10.9400451	22.8583442	0.0168680	0.1712918
1235	34.9277938	33.3862339	23.2480520	19.6673522	16.7270410	14.8205588	18.9357955	33.1403282	24.3380214	15.4410143	11.5361401	5.8211429	31.3345883	30.3895500	28.6134308	22.7005658	11.2045183	9.5360237	22.6949202	17.8974543	26.3015718	24.8415857	22.6906097	15.4978670	18.7409414	6.3905072	16.2690716	10.3599291	24.5347808	0.0169919	0.1638165
1240	42.6044651	27.0754879	26.9565049	25.9104716	14.9116108	14.8187511	18.9357955	34.4808244	20.2326641	15.4410143	12.0889208	6.7066684	33.1710080	31.8640245	30.8629236	22.3359194	9.4590997	7.3781572	15.2693160	17.8974543	30.1442125	28.5483749	26.9799533	17.3336236	18.7460974	10.1059000	17.7947793	15.2067961	23.4044447	0.0197632	0.1638165
1245	41.8791340	29.6068554	25.6135193	21.8224429	12.8306746	16.1366135	22.1983141	37.1877897	18.1661860	9.7885977	10.5536279	6.3134381	34.3734159	30.8275565	25.1536107	20.3150309	9.8557288	9.4612405	19.7510589	18.0942489	30.7710443	30.2259802	26.4556421	16.9871239	19.9262536	7.1981033	13.6892195	11.6519844	25.0663954	0.0210360	0.2681485
1250	42.4930400	33.1875605	24.5568491	22.1565616	17.1693964	16.0055957	21.3541859	37.4680824	18.2354753	15.6593212	12.2926875	9.1901520	34.4327176	33.7033230	29.6707879	20.0362116	9.8557288	9.4612405	19.7510589	18.2063721	33.4980087	30.3875922	28.8481757	16.0388542	17.5782042	5.0160204	15.7393323	12.9018729	22.9585418	0.0233204	0.1992618
1255	37.0519440	25.0509287	22.6493041	21.7613555	10.6904960	21.6052659	21.3541859	36.2599253	25.9453691	15.6593212	13.6957944	9.0215093	35.7930673	34.1243074	25.7608659	19.9749390	9.8557288	6.0068384	17.5882611	19.1669498	32.5255825	30.9686972	24.3015375	15.2578265	17.7652350	7.6751799	14.3557833	12.9018729	26.1651500	0.0233220	0.1537286
1260	37.0519440	25.9218214	24.3468875	19.4167308	11.8564536	18.9033192	20.0830349	36.1172501	20.4823780	16.8012096	10.7884753	8.7610326	35.9436815	33.9866632	25.7608659	24.9437577	9.4332537	7.0452349	17.1557730	14.9986484	28.6248152	25.7824699	20.6173217	15.2578265	17.1938071	7.6751799	15.7186030	12.0263208	24.0040112	0.0218739	0.1161641
1265	37.0519440	29.2203360	25.5145988	21.4840038	13.8542540	18.4713527	21.2071651	33.7283423	18.8982211	15.3437386	11.6121398	8.5183959	33.3385331	31.4369350	25.1255098	24.6084482	9.7247086	7.0452349	18.3679689	14.9986484	28.8091106	27.2514310	24.4914700	17.9029066	17.6076760	7.6751799	16.1142308	7.8792157	24.0040112	0.0275334	0.1414624
1270	43.8041041	26.2261802	25.0053092	16.5190074	12.8805482	14.1992839	21.2071651	42.0148450	25.6090686	15.3437386	10.2883141	8.5183959	37.1378146	35.9705331	21.7052122	20.7756703	8.9298350	7.9291574	15.5675896	14.9986484	28.0550103	25.0525863	22.7516745	14.6465112	16.6853412	7.6751799	10.4361528	9.1021426	26.1381932	0.0237009	0.1675900
1275	46.4617486	39.1135010	22.0265239	21.7826103	12.9433919	20.2226349	17.3990670	41.8871057	25.2305257	13.7402195	14.9501165	8.5183959	35.9373442	34.3250220	22.8336619	20.7110792	12.1469040	11.0246341	16.3462268	17.0585514	27.2048204	26.6060715	25.6060239	14.6465112	22.8302741	7.6751799	16.4790466	14.8395772	23.2035363	0.0253274	0.1198330
1280	41.0992505	28.8811912	22.7997008	21.7503830	13.3997865	12.9659685	22.5856810	38.4896588	18.0857512	17.5785580	12.6575021	8.5183959	34.0918808	32.8388374	28.3722416	24.9662457	12.1469040	8.7567248	19.8174459	17.0585514	32.7486322	29.5588485	28.1031997	21.1742205	21.0343700	6.1627276	18.2898223	12.5455045	15.1532378	0.0251717	0.0671768
1285	42.4946218	25.2754468	23.9287008	22.3778806	15.5228573	16.2530982	23.1520061	37.8469495	24.9861703	15.7375618	12.4040897	7.0366223	35.9435124	35.7042510	22.4460454	21.8180368	12.7475536	8.6848602	17.5259570	18.8229793	33.6423544	31.5052043	27.1309778	16.4561958	17.8773385	7.2321180	13.8154140	12.5455045	15.4955815	0.0265618	0.0671768
1290	42.3898728	26.2479770	23.8148018	20.3377512	16.7190600	13.8952736	22.5405768	38.7005936	25.7690424	19.0114198	10.4646173	7.0366223	33.8381968	31.4406748	28.1484546	20.9712045	10.1997123	8.9876593	17.5259570	18.3526119	30.5236542	27.2232654	25.7235361	16.4561958	19.0402897	7.2321180	13.2127797	9.8919145	28.2168468	0.0269513	0.0671768
1295	38.3750696	30.4287456	28.5219201	21.0393177	17.4054454	15.0583934	16.0612453	37.8016499	20.8653218	18.3783039	11.2284164	6.8217343	37.6640968	31.7591913	22.6989341	19.6040125	11.1104034	9.2909078	15.3962795	14.8961109	29.1125178	28.4280778	25.1269080	11.8068248	18.5497886	7.2321180	13.4935843	9.8919145	23.7770455	0.0251035	0.0505465
1300	38.3750696	27.8220556	23.3159122	20.6455512	16.4175548	15.0583934	19.9716081	33.7456061	19.3994887	18.3783039	13.0607831	10.7974516	32.0790056	31.2287946	24.7251660	23.3632332	9.2965573	9.2909078	17.8823351	18.6531293	30.6797360	30.2095436	25.1269080	18.3279372	14.9861899	9.1422970	14.9122142	13.7474910	23.5951381	0.0238592	0.0437214
1305	38.3750696	27.8337562	22.5135490	21.1088137	9.3865509	12.2980805	20.7917017	38.3343298	24.3634612	13.0074805	12.0824079	9.2474483	36.7507485	28.8261070	25.1331340	19.4751520	13.6147353	6.8936313	19.1434474	18.8125844	28.4113057	28.2476027	26.2337428	14.0711043	16.9799120	6.6259326	15.4846780	10.7937489	25.0747121	0.0244476	0.0935396
1310	45.9206148	27.9225080	21.1281952	20.3095331	13.1738391	15.6158989	20.7917017	36.6885464	22.7889152	15.3091187	11.1373116	7.6709771	36.3093984	30.0900279	29.1324650	19.2342011	13.2648479	6.8936313	14.8655467	17.6363063	29.6458436	29.5344228	22.9379809	16.9186998	15.8688538	5.4633684	11.9351309	10.0535039	21.3700325	0.0244476	0.0980073
1315	45.9206148	30.2926012	23.1653531	19.1740414	10.4723054	14.7542889	19.0701476	39.6321489	23.2760519	12.3264552	10.8167391	9.6380671	33.6684215	33.2094030	24.4521970	20.6466372	12.6314509	11.9497145	19.1943340	15.3155749	28.8939475	27.0487738	22.2231294	14.8093382	20.4988269	8.4147996	13.5435195	12.7590733	21.5638268	0.0233409	0.0980073
1320	38.9820433	30.3646611	20.0968681	16.5976459	11.7013907	14.7542889	18.9267272	35.6745361	26.3644690	13.5284117	11.4856394	8.0514152	30.3384101	29.8514569	23.5514386	20.7942674	14.0364161	10.7445308	18.0428934	18.7324769	27.8184353	24.4334170	24.3178603	15.1396228	21.9117378	8.4147996	14.1319923	11.8553500	25.6860949	0.0287096	0.0930396
1325	38.9820433	31.3608321	25.8195259	25.2767929	14.0927144	17.8042156	14.2948446	35.9021377	21.4044429	15.6417863	15.9986796	5.4604998	34.1486691	31.3172840	26.6954506	19.7685994	9.8760153	9.7419160	18.0428934	16.1314577	26.8403530	26.3571467	23.5918969	16.3489200	21.6142547	8.4147996	15.0565473	12.9578086	19.8632714	0.0308167	0.0794480
1330	40.3852383	29.1874340	22.9907654	20.7305283	13.5318526	17.5951324	19.2663166	35.0772354	14.1168742	12.1028184	13.8716467	7.6278454	31.8855312	29.6162977	28.5331950	21.4491629	12.5189823	9.7419160	18.0428934	14.6954543	29.0337199	27.2133127	23.2213699	12.6595884	19.6709420	5.8334985	16.2857696	11.6827281	19.1859494	0.0285326	0.0794480
1335	38.0044537	28.8808503	25.0172162	20.9967521	11.6333281	17.5951324	21.5228856	35.6704431	18.2024140	15.2937024	10.3803685	8.5674499	33.7229964	33.3998166	28.3140166	20.4986739	10.0157885	6.8885533	18.0428934	16.2493274	31.3935262	27.8917444	20.8417138	18.4311278	15.5173332	9.0998438	14.0054870	11.6827281	26.1450527	0.0267833	0.1577308
1340	44.4246554	25.6852754	25.2543518	23.7745225	11.6333281	17.5951324	19.5014901	41.2149899	25.9411528	14.7671712	11.9149025	6.2663667	35.0342613	33.9464135	26.5119242	21.6292417	10.6989623	10.5464150	16.7957009	15.9115944	28.8330005	27.8917444	20.6988037	18.4311278	17.7656136	9.0998438	13.9604241	10.9774740	23.8861412	0.0251688	0.0800121
1345	42.0965240	28.6325040	24.8531086	21.3092302	12.2376118	17.5951324	21.8057675	39.8728249	21.3693344	14.7671712	12.4226010	8.7839978	33.7537254	32.8333115	23.9561388	23.0022985	12.1419545	9.7466710	19.1948979	17.3724849	29.0799942	25.3729601	25.3320142	16.6539778	16.8873810	9.0998438	16.5381614	9.5436662	21.4125383	0.0272497	0.0800121
1350	44.2257865	32.6800128	22.8707347	21.6323123	19.5989459	14.8659632	21.7976192	39.0344753	19.1484587	14.3656314	11.0014729	8.6124810	37.5033412	31.8172434	23.9497895	22.9045739	10.2998125	9.6778934	16.3657322	19.7677763	30.3900241	27.0293968	23.2280017	12.9563676	16.1872363	6.7573832	12.7779212	12.3636417	27.7434145	0.0293505	0.0587782
1355	36.9488284	29.0643944	24.0568357	19.3214411	13.8760006	18.1999571	19.9887246	36.3926042	18.5447089	16.8138042	11.1125038	8.1586151	31.1793369	29.9620219	26.4507969	20.2908879	10.2998125	9.6778934	19.7184893	14.9456289	28.9410596	25.7569192	25.0165116	17.8799312	21.8785972	9.2376165	14.8035251	12.3636417	25.9864980	0.0302805	0.0536584
1360	36.9488284	22.8528859	20.6765995	18.9278579	9.4087356	15.3217526	19.9887246	34.5381182	22.2890979	15.6944641	11.5913507	5.8270574	33.0953084	32.2168942	26.8606113	22.8797283	11.6441414	9.6778934	17.1422641	11.8421936	30.7453183	24.8606522	21.3238313	17.8799312	22.5919011	9.2376165	19.0213359	8.9560579	24.5315460	0.0311685	0.0278950
1365	41.2288697	28.2613844	25.7095043	18.7427230	13.6040664	15.7760081	19.9887246	37.1698713	25.3004617	15.6944641	12.0249156	8.9201021	33.0528750	32.9120955	24.2258302	22.1674973	10.8696045	6.4987628	15.8211167	14.4596596	32.4150382	25.6251577	25.1470555	17.6615143	17.3274286	7.4714686	15.6929517	15.2875199	24.8903212	0.0324972	0.0278950
1370	41.2288697	33.1589558	28.5078168	24.1970069	14.4566971	16.7630517	19.9887246	34.7930165	18.4434620	15.6944641	11.5041576	8.9201021	31.4548979	29.8852334	28.6204420	22.0593016	10.8696045	6.7024146	16.7975651	17.0483453	29.5432864	24.8344370	19.7535762	19.2814886	18.9937778	7.4714686	17.3832820	13.1227253	25.1726143	0.0324972	0.0154504
1375	40.5895020	33.4076582	24.1705437	19.8909934	11.3377777	16.6054061	21.3950151	35.8578602	18.9998738	18.9332745	9.2960848	8.9201021	33.8392671	33.7125326	23.8904546	18.6490582	10.6110300	10.4126858	15.7896557	16.3028645	30.0794539	27.4220831	26.7018552	17.4128581	22.8163791	7.4714686	17.4839051	13.1227253	23.3745251	0.0336712	0.0239894
1380	40.5895020	30.5032346	30.2998760	24.5882199	12.3452223	15.8694154	19.7662241	37.4664322	19.4193483	14.7016252	10.7343466	8.9201021	34.2704735	33.3813834	26.7128349	24.6277693	10.6110300	10.4126858	17.1820258	18.3853610	27.9906183	25.9519787	19.3661723	17.7968018	15.2704580	7.4714686	13.7204350	13.1227253	27.2919171	0.0336712	0.0239894
1385	40.5895020	24.9654676	24.1727801	22.2327950	15.1922210	17.6437019	19.7662241	37.1411975	18.8189317	14.7016252	8.7263380	7.3099832	33.0999411	32.6774404	21.8382416	20.4948709	11.8819027	8.1131129	17.2754283	17.8782005	30.0669843	26.1377343	21.4528015	16.4140681	18.5300939	7.4714686	16.3442656	11.4487093	25.5336292	0.0336712	0.0167080
1390	43.3086767	26.0763807	25.2607067	20.5953230	17.2291141	16.1392874	17.9884717	37.1782104	17.1365077	14.7016252	12.0841900	9.1052658	37.1318047	35.5515015	22.8522572	18.3550322	12.0603999	9.6567051	17.2754283	14.4657957	28.3908825	27.7618869	24.7376302	14.3142903	17.5880581	11.1545011	13.1374201	11.4487093	25.5336292	0.0321709	0.0167080
1395	44.7491200	33.5447601	22.5126936	22.1537596	14.2784724	13.0643939	21.3335735	44.4237222	23.4897101	14.6846172	14.7417852	9.9604004	35.7519677	35.2529522	25.9105227	24.3463243	7.0620771	5.6401192	17.2754283	14.4657957	32.5954199	32.4191321	23.9983451	15.4411932	15.5647243	3.5417843	12.7241454	11.0362571	24.6604292	0.0321709	0.0236245
1400	42.4758250	27.8003057	25.6126823	24.3059835	15.1913127	20.4107227	18.9077318	39.4270460	19.7194017	17.0214016	12.7099269	9.4411777	33.6136579	32.4601424	25.8746463	20.6786551	12.8898328	11.7696203	17.5681238	14.4657957	31.2035278	30.4881388	23.0112860	15.6379641	15.7513705	8.8846290	13.4131737	12.2902648	20.2146444	0.0326893	0.0139465
1405	42.4052453	33.4026066	24.9515617	20.0952752	15.1913127	16.4017135	21.2539612	39.6574804	20.0759978	19.6814985	13.8076893	9.6347597	38.0725594	34.0969087	27.2887261	26.2113944	10.3848881	6.4931328	17.5681238	15.5121699	29.1484505	26.2022199	21.6857843	17.5658025	18.4127794	6.3199361	14.7436592	12.2902648	19.8430629	0.0326893	0.0200484
1410	41.4345060	29.8296631	22.1534193	18.7571973	17.0851187	16.4017135	21.2539612	37.3347957	22.6443206	13.9744509	10.2117555	6.3891855	35.8793953	35.2234347	28.8588747	19.4805126	10.3848881	9.4620937	17.5681238	15.5121699	34.7808387	26.0771515	20.8765685	17.6916199	21.0569069	6.9127812	13.7153329	12.0532156	22.5997899	0.0326893	0.0155802
1415	41.2765358	29.7490025	23.6025997	20.0336910	14.3931510	19.4773709	21.2539612	37.6816952	18.9487458	11.8373175	12.0836927	8.1602864	37.1784081	35.3194491	26.1509164	21.3411818	10.6925620	6.0311979	16.7760085	21.7946581	32.8594073	29.2186515	21.8432991	20.6097414	19.1352338	5.6632756	15.5374280	12.3794068	24.4633455	0.0326893	0.0155802
1420	41.2765358	35.3541179	25.0521826	22.5750566	15.6585130	20.8288615	22.4000176	38.0416071	20.2907341	17.1897550	13.4067768	8.1602864	36.5817633	34.3524496	28.3440499	26.2235114	12.3844732	7.8546827	20.0547600	11.9797802	28.0875356	27.9528573	26.1795221	13.2913557	20.4893768	7.3650309	12.6610239	12.1049802	23.5504933	0.0326893	0.0155802
1425	41.2765358	29.3780098	27.0216364	22.5750566	16.8642362	13.9790166	16.4213260	37.2403672	17.9623694	13.4535703	12.3075454	9.2401313	37.2212780	32.1122810	28.3752465	18.5113660	9.2374630	7.8546827	17.1679279	17.5310046	31.5029334	22.6152251	22.5253534	13.2913557	18.0272413	7.3650309	14.9212836	10.9542576	24.3311069	0.0326893	0.0220433
1430	40.4705588	27.1763500	24.2836193	18.1567280	12.7743314	17.9569313	22.5455182	40.1191389	22.2024398	12.4827793	13.6722114	9.2401313	33.3009106	31.7464653	28.2067149	22.3256086	14.2318137	8.8215111	18.8860448	17.5310046	27.9225654	26.7528759	21.3281498	18.5068298	16.6794799	8.2005541	13.8773610	11.9454563	25.8135506	0.0326893	0.0262386
1435	40.4705588	25.9037139	24.8762604	20.5247113	17.8198884	16.1272138	21.3902132	40.3495014	23.7348977	12.4827793	11.6844539	9.2401313	33.0079155	32.1593539	24.2286454	21.5882069	10.0741878	9.5041800	17.7838822	18.6235393	26.2207925	25.9304825	25.7464875	12.6794095	19.8468650	6.3963664	14.3773153	12.4674769	20.1362085	0.0326893	0.0187286
1440	49.4790454	28.9694440	21.9288041	16.7435832	11.4865707	14.3045990	21.3902132	36.4350983	20.4897197	10.5023396	12.5042187	8.2683151	31.7575483	30.5063042	26.9274039	23.5838685	10.0741878	8.6392919	17.7838822	20.6975097	28.5436577	25.4497422	24.0980764	16.8682159	20.4784642	8.5973256	18.2870356	14.0633188	19.7348733	0.0326893	0.0141442
1445	37.2015114	25.2777381	21.5893117	18.5721926	14.8588630	17.9267338	17.6324764	36.2550660	26.5117204	13.7049457	12.8317103	10.5683566	34.4977424	33.2306834	24.2191442	23.3947402	10.6719333	9.5209732	13.2131904	17.7603983	28.2825309	26.6816288	26.5352151	15.0830750	21.5924440	6.1975779	16.6213440	13.6976612	22.8951195	0.0326893	0.0141293
1450	36.4344638	24.4452366	22.8168015	20.0655344	13.5850253	17.9267338	22.7354846	30.9272086	18.2689722	13.1170975	12.5507577	9.3632428	29.2711480	29.2000618	24.6479804	21.9661633	9.2307156	7.6044899	19.4894564	17.9786326	27.9715930	26.6722310	24.6028313	15.0830750	20.8297740	6.1654438	15.1469442	14.6354489	25.4131984	0.0326893	0.0141293
1455	35.9256825	29.1727037	22.4641343	19.6105654	13.8077667	16.8139169	21.0701449	35.4457683	24.6034427	13.1170975	11.0008238	6.8455337	32.7236076	32.1381429	28.7751468	26.4150680	12.7188475	7.1757225	12.8341780	20.4043609	30.4984425	30.4961822	26.2763249	14.8972266	18.6905706	8.9217716	17.7270648	11.7693458	22.7079972	0.0304322	0.0174738
1460	49.8749867	28.8052589	23.7199471	18.7720638	14.2861730	15.8716487	21.6573973	39.4595889	18.6701304	12.1889838	13.7814150	6.4414250	35.0491155	33.0814478	24.9465322	23.6289147	10.3417817	9.9365534	15.9790875	18.7489605	32.5922509	29.7332348	24.6103571	14.8972266	19.6402621	8.5586206	15.7374790	14.1408390	27.5055252	0.0304322	0.0213887
1465	40.1625527	28.5133557	26.6159235	20.3045947	12.2538757	15.8716487	23.9010516	34.9140968	21.1589361	14.9786978	10.5888676	7.0132562	34.8348819	33.3366181	28.4764982	22.9394752	10.3417817	9.9365534	15.8145272	17.3914587	32.0990468	29.2271601	23.8880180	14.8972266	21.7225170	8.8851540	14.7907013	14.1408390	22.4889464	0.0304322	0.0299699
1470	40.2880145	28.5860105	24.1104187	19.6821849	15.4002643	14.3389044	16.5037652	31.4518265	26.8937236	15.2377024	14.7464305	7.2519960	31.0793584	30.6123781	25.6463774	24.3782833	11.1911081	10.8427551	15.8145272	20.0819137	30.0216660	25.4477675	23.2470297	14.8972266	20.4560297	6.9203265	15.2904122	14.1408390	22.4889464	0.0304322	0.0243735
