Gen	t_n31	t_n32	t_n33	t_n34	t_n35	t_n36	t_n37	t_n38	t_n39	t_n40	t_n41	t_n42	t_n43	t_n44	t_n45	t_n46	t_n47	t_n48	t_n49	t_n50	t_n51	t_n52	t_n53	t_n54	t_n55	t_n56	t_n57	t_n58	t_n59	mu	sigma2	lnL
75	37.1034664	26.8458164	21.4317832	19.2432659	14.0721453	16.5514571	19.4104828	34.7319061	20.6142977	16.8917218	13.5102755	8.7516149	32.2918067	31.4293583	24.8660090	21.0855119	10.5808080	9.7638635	18.1614136	17.2804891	29.9294345	29.1212507	23.8476865	13.3619282	18.7103730	6.9250794	15.2744850	14.0392989	25.2664624	0.0161176	0.0135079	-28.510
80	39.6221148	28.8354619	22.2484082	18.9348343	12.7444846	14.9862415	20.3623503	34.7319061	20.6142977	15.8041714	13.0278661	9.5100156	31.6837016	30.8154038	23.7014526	21.0855119	9.7596318	8.1473720	18.9342115	14.8267219	29.8500301	28.1615305	23.6614462	14.1309532	18.1684491	8.9761480	14.1970662	13.2679007	24.4558235	0.0158863	0.0135079	-30.760
85	37.6794551	27.0417231	21.3768521	19.4202029	12.7444846	15.6434756	20.3623503	36.6967332	20.6142977	14.6501539	12.2697215	7.4103110	31.5118447	30.8154038	23.3802386	20.3858971	10.0100057	8.1473720	18.9342115	15.7308979	28.8004340	27.8592959	23.6614462	14.1309532	17.2150349	7.4261467	14.2051168	11.7163647	23.3563172	0.0158863	0.0205724	-21.349
90	39.4713431	28.0836298	21.9909962	19.4202029	14.0859789	15.6434756	21.2588997	36.0897302	20.6142977	15.3941401	13.8720594	6.9974295	32.0307693	30.8154038	23.1058853	20.3858971	10.0100057	8.1473720	18.7516892	15.2206153	28.1456617	27.8592959	24.5178935	15.7861735	16.7144041	9.0381578	14.2051168	12.6630329	23.2622475	0.0165258	0.0173552	-27.285
95	39.0375260	29.5369144	22.5388658	18.9860087	12.4462661	15.4710410	20.6125659	35.4433866	20.6142977	15.5194088	12.1463933	8.2271401	31.5952797	30.4135062	22.0305584	19.4771428	10.5941883	8.3857988	16.2923776	12.9624036	29.1714993	27.2475756	22.7104872	15.7861735	16.8811312	7.8278274	14.7348964	13.0896532	25.5163708	0.0165258	0.0139983	-34.914
100	38.1096280	29.5369144	22.5388658	21.6963745	13.8137697	16.9428184	19.7826783	34.4208574	19.7714703	13.9714447	11.6189505	8.3399327	31.4884986	30.6077170	23.0239804	19.4771428	10.2356312	9.1315418	17.9036431	12.9624036	29.1714993	27.2475756	24.1182902	14.1096283	17.3123177	7.3658424	14.1657606	12.0489159	23.9997774	0.0166046	0.0139983	-27.417
105	38.1096280	28.7910924	22.9428343	21.8655632	14.2525031	16.9428184	19.7826783	36.1972394	21.1629358	14.5443667	13.4156727	8.0742454	31.6152655	30.0650101	23.3195115	19.8482107	10.2356312	9.1315418	17.9036431	15.1871785	28.7896110	27.2208710	22.5065215	12.7833690	17.5572694	7.3658424	14.1657606	12.8214157	25.0040750	0.0162316	0.0139983	-24.589
110	38.5798550	30.1119763	24.0803824	21.8357222	13.1117894	17.1607894	19.7826783	36.1972394	22.9769624	16.1890408	14.4422927	9.2978140	31.9589742	30.6595741	24.6069936	20.7233832	10.2973187	8.5679617	17.9036431	16.2868696	29.6125063	29.0945971	23.5201744	15.0718172	19.4088929	8.2755486	15.6214640	13.0251641	24.6776977	0.0158351	0.0139983	-34.519
115	38.5798550	28.3765071	22.5035856	21.1264712	15.2205320	18.2441710	19.7145071	35.9899838	20.7245580	15.2648060	13.8013854	8.0608093	32.0507780	30.4909399	24.6069936	22.6338425	10.2973187	9.3073200	17.9886951	15.1595694	29.5795140	29.0945971	24.3534671	16.1961792	19.4796455	7.5991098	15.6873818	14.1426022	24.1538668	0.0150236	0.0117559	-31.848
120	39.1478386	26.9221000	22.5035856	21.1264712	15.2205320	17.2676619	19.7867991	35.7725634	20.7245580	15.0042154	13.7778167	9.1384499	33.0294605	31.4998203	23.7644835	20.9190904	11.5777724	9.8120485	18.7875660	15.5370902	29.0911608	28.0882587	25.8757870	15.7258537	18.1191129	8.6852830	14.9198739	12.7804249	25.2007229	0.0150236	0.0175651	-19.340
