shape	rate
t_n31	215.692781889906	6.46325733252288
t_n32	199.106093680601	8.19239340924056
t_n33	163.830528889912	8.21314731284307
t_n34	148.047817831308	7.95104575572128
t_n35	82.3276844092719	6.56493363110011
t_n36	99.4313161175899	6.60837533588878
t_n37	117.096109002456	6.46528028324465
t_n38	171.187567108489	5.42641170221397
t_n39	109.739940859988	5.94561856289234
t_n40	69.4049976130188	5.17899172576804
t_n41	79.3528432280088	6.9830295590945
t_n42	56.5457049617334	7.49351024235571
t_n43	166.326777324283	5.79248019409969
t_n44	168.878407825696	6.10633592077942
t_n45	139.235807075654	6.42865415926767
t_n46	123.96319104253	6.49363913580978
t_n47	72.4872813625933	7.66218540265301
t_n48	60.9029738590585	7.47774333638283
t_n49	100.154340817741	5.97546005761137
t_n50	72.2645726528233	4.87752171814089
t_n51	164.721942676002	6.30855668437394
t_n52	161.290000922495	6.36170555782793
t_n53	143.680861460543	6.54378876267735
t_n54	76.2612013191008	5.58805126795076
t_n55	112.075849514967	6.93938349220698
t_n56	52.6307505633554	7.44480746315737
t_n57	90.5931412130823	6.97395700005308
t_n58	74.9662495943188	6.65795518727656
t_n59	110.903918457066	5.11935075531272
mu	175.654473152275	10163.3483634072
sigma2	5.72306038673124	276.864133550224
